ID,State_ab,No_of_trade,state
1,AK,2241,alaska
2,AL,18483,alabama
3,AR,9439,arkansas
4,AZ,32762,arizona
5,CA,114627,california
6,CO,32699,colorado
7,CT,14793,connecticut
8,DC,29,district of columbia
9,DE,3692,delaware
10,FL,107313,florida
11,GA,55597,georgia
12,HI,3716,hawaii
13,IA,6727,iowa
14,ID,4936,idaho
15,IL,54771,illinois
16,IN,23301,indiana
17,KS,10971,kansas
18,KY,19796,kentucky
19,LA,11453,louisiana
20,MA,26013,massachusetts
21,MD,25380,maryland
22,ME,2596,maine
23,MI,15089,michigan
24,MN,15761,minnesota
25,MO,23137,missouri
26,MS,8533,mississippi
27,MT,2586,montana
28,NC,52560,north carolina
29,ND,1826,north dakota
30,NE,7119,nebraska
31,NH,8190,new hampshire
32,NJ,38205,new jersey
33,NM,6967,new mexico
34,NV,10281,nevada
35,NY,37722,new york
36,OH,33970,ohio
37,OK,14720,oklahoma
38,OR,14608,oregon
39,PA,40257,pennsylvania
40,RI,2569,rhode island
41,SC,14093,south carolina
42,SD,1619,south dakota
43,TN,27600,tennessee
44,TX,139272,texas
45,UT,15051,utah
46,VA,49149,virginia
47,VT,1509,vermont
48,WA,32878,washington
49,WI,16168,wisconsin
50,WV,1983,west virginia
51,WY,968,wyoming